id	org	district	locale	office	seatnum	subdist	name	elected	party	votes_C	pct	termlen	open	Res	Part	web	email	phone	address	headshot	Status
715	cnty	81		atty	1	0	Eli Savit	2024-11-05	D	158106	100	4				www.washtenaw.org/1070/Prosecuting-Attorney	prosecutor@washtenaw.org	734-222-6620	Courthouse, P.O. Box 8645, 200 N. Main, Suite 320, Ann Arbor, MI 48107		---
752	cnty	81		clerkreg	1	0	Lawrence Kestenbaum	2024-11-05	D	148458	71	4				www.washtenaw.org/262/Clerk-Register-of-Deeds	kestenbauml@washtenaw.org	734-222-6730	200 North Main Street, Suite 120, P.O. Box 8645, Ann Arbor, Michigan 48107-8645		
784	cnty	81		drain	1	0	Gretchen D. Driskell	2024-11-05	D	151966	73	4				www.washtenaw.org/154/Water-Resources		(734) 222-6860	705 North Zeeb Road, Ann Arbor MI 48103		
862	cnty	81		sheriff	1	0	Alyshia M. Dyer	2024-11-05	D	157782	100	4				www.washtenaw.org/1124/Sheriff	sheriff@washtenaw.org	(734) 971-8400	2201 Hogback Road, Ann Arbor MI 48105		
914	cnty	81		treas	1	0	Latitia Lamelle Sharp	2024-11-05	D	141670	68	4				www.washtenaw.org/1136/Treasurer	treasurer@washtenaw.org	(734) 222-6600	200 N Main Street Suite 200, P.O. Box 8645, Ann Arbor, MI 48107-8645		
1194	cnty-com	81			1	1	Jason Maciejewski	2024-11-05	D	17327	65	4				www.washtenaw.org/202/Board-of-Commissioners	maciejewskij@washtenaw.org	734-222-6850	220 North Main Street, Ann Arbor MI 48104		
1195	cnty-com	81			1	2	Crystal Lyte	2024-11-05	D	14566	57	4				www.washtenaw.org/202/Board-of-Commissioners	lytec@washtenaw.org	734-222-6850	220 North Main Street, Ann Arbor MI 48104		
1196	cnty-com	81			1	3	Shannon Beeman	2024-11-05	D	12850	52	4				www.washtenaw.org/202/Board-of-Commissioners	beemans@washtenaw.org	734-222-6850	220 North Main Street, Ann Arbor MI 48104		
1197	cnty-com	81			1	4	Caroline L. Sanders	2024-11-05	D	16088	74	4				www.washtenaw.org/202/Board-of-Commissioners	sandersc@washtenaw.org	734-222-6850	220 North Main Street, Ann Arbor MI 48104		
1198	cnty-com	81			1	5	Justin D. Hodge	2024-11-05	D	16063	69	4				www.washtenaw.org/202/Board-of-Commissioners	hodgej@washtenaw.org	734-222-6850	220 North Main Street, Ann Arbor MI 48104		
1199	cnty-com	81			1	6	Annie Somerville	2024-11-05	D	14751	81	4				www.washtenaw.org/202/Board-of-Commissioners	somervillea@washtenaw.org	734-222-6850	220 North Main Street, Ann Arbor MI 48104		
1200	cnty-com	81			1	7	Andy LaBarre	2024-11-05	D	16421	90	4				www.washtenaw.org/202/Board-of-Commissioners	labarrea@washtenaw.org	734-222-6850	220 North Main Street, Ann Arbor MI 48104		
1201	cnty-com	81			1	8	Yousef Rabhi	2024-11-05	D	16665	85	4				www.washtenaw.org/202/Board-of-Commissioners	rabhiy@washtenaw.org	734-222-6850	220 North Main Street, Ann Arbor MI 48104		
1202	cnty-com	81			1	9	Katie Scott	2024-11-05	D	22901	87	4				www.washtenaw.org/202/Board-of-Commissioners	scottk@washtenaw.org	734-222-6850	220 North Main Street, Ann Arbor MI 48104		
